tx_id,timestamp,src_type,src_id,dst_type,dst_id,amount,currency,channel,src_country,dst_country,is_cross_border,rule_hits,anomaly_score,label
19,2025-07-20T16:32:11Z,company,30,company,16,4072.73,CHF,CARD,IT,US,True,FONDS_SEIN_PAYS_TIER,26,normal
20,2025-09-08T21:27:11Z,company,68,company,47,1413.89,CHF,SEPA,CH,IT,True,,25,normal
21,2025-07-16T01:46:11Z,company,41,company,25,2037.99,USD,CRYPTO,GB,AE,True,FONDS_SEIN_PAYS_TIER;ODD_HOUR_ACTIVITY,51,normal
22,2025-08-09T12:46:11Z,company,16,customer,34,27.75,USD,SWIFT,US,FR,True,,33,normal
23,2025-09-02T06:09:11Z,customer,8,company,51,4856.42,CHF,CASH,FR,BE,True,,16,normal
24,2025-09-08T12:48:11Z,company,30,customer,25,4189.75,USD,CRYPTO,IT,FR,True,,23,normal
25,2025-07-15T11:29:11Z,customer,8,company,47,1520.49,USD,CARD,FR,IT,True,,21,normal
26,2025-08-28T13:16:11Z,customer,130,customer,1,219.76,CHF,SEPA,FR,FR,False,,18,normal
27,2025-07-18T03:22:11Z,company,1,customer,77,627.74,GBP,SWIFT,IT,FR,True,,11,normal
28,2025-09-08T05:00:11Z,customer,94,customer,57,4900.97,USD,PSU-PSD2,FR,FR,False,,16,normal
29,2025-08-03T16:18:11Z,customer,30,customer,40,2912.51,USD,PSU-PSD2,FR,FR,False,,24,normal
30,2025-08-21T21:58:11Z,company,74,company,75,2069.9,USD,SWIFT,GB,ES,True,,12,normal
31,2025-07-25T18:58:11Z,company,71,company,31,5283.51,USD,CASH,BE,BE,False,,4,normal
32,2025-08-06T13:35:11Z,customer,112,company,1,1263.43,CHF,SWIFT,FR,IT,True,,7,normal
33,2025-08-31T09:01:11Z,customer,93,customer,148,2288.72,CHF,SWIFT,FR,FR,False,,25,normal
34,2025-07-22T10:07:11Z,customer,145,customer,144,2642.07,EUR,SWIFT,FR,FR,False,,17,normal
35,2025-07-17T22:18:11Z,customer,60,company,58,2658.26,USD,SEPA,FR,CN,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,65,normal
36,2025-08-24T12:06:11Z,customer,198,customer,137,1861.7,CHF,CARD,FR,FR,False,,27,normal
37,2025-07-25T13:30:11Z,company,20,customer,67,3677.24,CHF,PSU-PSD2,GB,FR,True,,3,normal
38,2025-09-04T03:44:11Z,customer,151,customer,49,2736.42,GBP,PSU-PSD2,FR,FR,False,ODD_HOUR_ACTIVITY,26,normal
39,2025-08-26T12:04:11Z,company,73,customer,25,3566.65,GBP,CRYPTO,DE,FR,True,,21,normal
40,2025-09-02T09:09:11Z,customer,63,customer,1,403.02,EUR,PSU-PSD2,FR,FR,False,,28,normal
41,2025-08-18T02:11:11Z,customer,173,company,68,3249.97,GBP,CASH,FR,CH,True,FONDS_SEIN_PAYS_TIER;ODD_HOUR_ACTIVITY,47,normal
42,2025-08-10T06:33:11Z,company,10,customer,59,1254.17,USD,SWIFT,IE,FR,True,,23,normal
43,2025-08-16T07:28:11Z,company,78,customer,93,1363.27,CHF,CASH,AE,FR,True,,19,normal
44,2025-09-01T08:34:11Z,customer,40,company,1,1437.98,CHF,CASH,FR,IT,True,,12,normal
45,2025-08-08T08:25:11Z,customer,125,customer,19,4653.07,GBP,SWIFT,FR,FR,False,,10,normal
46,2025-08-09T00:25:11Z,customer,11,company,80,482.27,EUR,CRYPTO,FR,IE,True,,16,normal
47,2025-07-15T06:47:11Z,customer,74,company,37,1067.8,EUR,CASH,FR,CN,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,42,normal
48,2025-08-28T06:44:11Z,customer,137,customer,42,1452.94,USD,PSU-PSD2,FR,FR,False,,15,normal
49,2025-08-03T07:47:11Z,company,54,customer,63,191.12,USD,CRYPTO,NG,FR,True,HIGH_RISK_JURISDICTION,31,normal
50,2025-08-05T12:32:11Z,customer,31,customer,86,4584.17,GBP,SEPA,FR,FR,False,,10,normal
51,2025-07-29T22:02:11Z,customer,42,company,2,1102.86,USD,CRYPTO,FR,IE,True,,15,normal
52,2025-09-07T19:06:11Z,customer,72,customer,182,1442.27,CHF,CASH,FR,FR,False,,36,normal
53,2025-08-22T09:58:11Z,customer,149,customer,59,407.07,USD,CASH,FR,FR,False,,22,normal
54,2025-08-06T22:49:11Z,customer,107,customer,74,3332.39,GBP,SWIFT,FR,FR,False,HIGH_RISK_ENTITY,37,normal
55,2025-07-11T08:32:11Z,customer,141,customer,18,25539.49,USD,PSU-PSD2,FR,FR,False,,33,normal
56,2025-07-12T03:39:11Z,company,30,customer,96,3817.62,CHF,SEPA,IT,FR,True,ODD_HOUR_ACTIVITY,24,normal
57,2025-09-05T04:03:11Z,company,1,customer,177,2099.93,USD,PSU-PSD2,IT,FR,True,ODD_HOUR_ACTIVITY,38,normal
58,2025-08-14T22:25:11Z,customer,178,company,77,2997.38,USD,SWIFT,FR,DE,True,,0,normal
59,2025-07-28T07:38:11Z,company,60,company,42,2138.81,EUR,SWIFT,CH,NG,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,35,normal
60,2025-08-24T05:50:11Z,company,14,customer,153,2638.12,CHF,CASH,SG,FR,True,,26,normal
61,2025-08-04T08:09:11Z,company,62,customer,156,3348.78,CHF,PSU-PSD2,AE,FR,True,,25,normal
62,2025-07-22T22:40:11Z,customer,94,company,15,948.66,USD,CRYPTO,FR,IR,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,43,normal
63,2025-08-12T01:31:11Z,company,70,customer,198,2724.5,GBP,CRYPTO,NG,FR,True,HIGH_RISK_JURISDICTION;ODD_HOUR_ACTIVITY;HIGH_RISK_ENTITY,63,normal
64,2025-08-24T04:51:11Z,company,27,company,76,781.97,EUR,CRYPTO,SG,ES,True,,17,normal
65,2025-07-23T04:07:11Z,company,8,customer,1,2359.13,USD,CASH,CN,FR,True,HIGH_RISK_JURISDICTION;ODD_HOUR_ACTIVITY,56,normal
66,2025-08-07T21:17:11Z,customer,30,company,74,3332.55,EUR,CASH,FR,GB,True,,30,normal
67,2025-08-09T20:50:11Z,company,44,company,29,3912.75,USD,CARD,NL,LU,True,,15,normal
68,2025-08-09T08:22:11Z,customer,164,company,41,1230.09,EUR,PSU-PSD2,FR,GB,True,,18,normal
69,2025-08-30T02:43:11Z,customer,166,customer,97,1877.59,USD,CRYPTO,FR,FR,False,,23,normal
70,2025-08-17T10:25:11Z,company,62,company,64,383.92,USD,CRYPTO,AE,BE,True,,18,normal
71,2025-07-21T05:01:11Z,customer,6,customer,148,322.46,CHF,SEPA,FR,FR,False,,24,normal
72,2025-08-20T01:31:11Z,company,61,customer,62,1563.37,GBP,CASH,GB,FR,True,,26,normal
73,2025-08-09T20:49:11Z,customer,11,customer,14,1885.54,CHF,CRYPTO,FR,FR,False,,14,normal
74,2025-07-27T17:28:11Z,company,70,customer,73,2963.47,USD,SWIFT,NG,FR,True,HIGH_RISK_JURISDICTION;HIGH_RISK_ENTITY,48,normal
75,2025-08-17T02:35:11Z,company,7,company,30,413.78,CHF,SEPA,NL,IT,True,,27,normal
76,2025-07-28T03:04:11Z,customer,178,customer,175,2818.99,EUR,CARD,FR,FR,False,ODD_HOUR_ACTIVITY,41,normal
77,2025-08-16T16:34:11Z,company,77,company,58,4417.11,CHF,SEPA,DE,CN,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,36,normal
78,2025-08-03T14:21:11Z,customer,94,customer,158,8108.73,GBP,CARD,FR,FR,False,,20,normal
79,2025-07-23T09:48:11Z,company,7,company,51,546.44,CHF,SEPA,NL,BE,True,,26,normal
80,2025-08-25T14:57:11Z,company,18,customer,37,1408.12,CHF,SWIFT,IE,FR,True,,15,normal
81,2025-08-08T11:46:11Z,company,79,company,80,1421.79,USD,SEPA,GB,IE,True,,13,normal
82,2025-08-09T01:25:11Z,customer,188,customer,66,923.46,EUR,PSU-PSD2,FR,FR,False,,23,normal
83,2025-09-04T06:35:11Z,company,52,company,46,832.53,CHF,SEPA,SG,FR,True,,16,normal
84,2025-08-23T09:41:11Z,company,52,company,6,5235.24,USD,PSU-PSD2,SG,ES,True,,22,normal
85,2025-07-27T16:18:11Z,customer,149,customer,172,424.27,EUR,CASH,FR,FR,False,,36,normal
86,2025-09-04T20:36:11Z,company,43,customer,103,10338.2,EUR,CRYPTO,SG,FR,True,,22,normal
87,2025-07-24T11:53:11Z,company,11,company,26,205.79,GBP,CASH,NG,RU,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,47,normal
88,2025-09-07T09:04:11Z,customer,181,customer,112,5447.71,CHF,CARD,FR,FR,False,,21,normal
89,2025-08-12T07:18:11Z,customer,185,company,60,931.16,USD,CRYPTO,FR,CH,True,FONDS_SEIN_PAYS_TIER,33,normal
90,2025-08-16T18:10:11Z,company,44,company,57,3416.75,EUR,CARD,NL,AE,True,FONDS_SEIN_PAYS_TIER,31,normal
91,2025-07-15T00:43:11Z,company,19,company,50,1204.06,USD,CRYPTO,ES,BE,True,,9,normal
92,2025-07-16T21:26:11Z,customer,5,company,55,2577.72,CHF,CASH,FR,NG,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,50,normal
93,2025-09-06T08:10:11Z,customer,56,customer,134,2524.23,EUR,PSU-PSD2,FR,FR,False,,21,normal
94,2025-09-07T08:32:11Z,customer,120,company,66,5146.75,EUR,CASH,FR,IR,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,44,normal
95,2025-07-24T18:19:11Z,customer,177,customer,30,1213.24,GBP,CRYPTO,FR,FR,False,,43,normal
96,2025-08-21T22:15:11Z,customer,119,company,39,296.58,GBP,PSU-PSD2,FR,GB,True,,11,normal
97,2025-09-07T15:21:11Z,customer,86,customer,95,677.36,EUR,PSU-PSD2,FR,FR,False,,34,normal
98,2025-08-12T13:47:11Z,customer,118,customer,134,33.41,USD,PSU-PSD2,FR,FR,False,,6,normal
99,2025-08-21T14:10:11Z,customer,151,customer,136,289.89,GBP,CARD,FR,FR,False,,18,normal
100,2025-08-10T14:24:11Z,customer,158,customer,107,3427.69,USD,SEPA,FR,FR,False,,22,normal
101,2025-08-03T01:52:11Z,customer,119,company,16,3528.38,EUR,PSU-PSD2,FR,US,True,FONDS_SEIN_PAYS_TIER;ODD_HOUR_ACTIVITY,48,normal
102,2025-07-16T01:07:11Z,customer,127,company,10,1273.51,CHF,SWIFT,FR,IE,True,,19,normal
103,2025-07-15T12:25:11Z,company,14,customer,78,3637.56,EUR,SEPA,SG,FR,True,,16,normal
104,2025-09-08T06:54:11Z,customer,70,company,17,1062.39,GBP,SEPA,FR,SG,True,FONDS_SEIN_PAYS_TIER,28,normal
105,2025-07-21T18:22:11Z,company,68,customer,142,2127.05,GBP,CASH,CH,FR,True,,22,normal
106,2025-07-28T18:46:11Z,customer,30,customer,158,6064.67,EUR,SEPA,FR,FR,False,,13,normal
107,2025-07-20T03:50:11Z,customer,124,company,68,1887.1,GBP,CARD,FR,CH,True,FONDS_SEIN_PAYS_TIER,43,normal
108,2025-08-09T03:13:11Z,company,57,customer,2,4631.17,CHF,CARD,AE,FR,True,ODD_HOUR_ACTIVITY,36,normal
109,2025-08-28T04:14:11Z,customer,161,customer,170,3084.79,GBP,CRYPTO,FR,FR,False,ODD_HOUR_ACTIVITY,22,normal
110,2025-08-31T19:54:11Z,customer,100,customer,104,491.64,USD,PSU-PSD2,FR,FR,False,,18,normal
111,2025-08-25T05:21:11Z,company,38,company,39,1364.1,EUR,SEPA,US,GB,True,,15,normal
112,2025-08-23T08:29:11Z,customer,151,customer,95,1264.67,CHF,PSU-PSD2,FR,FR,False,,16,normal
113,2025-09-07T00:08:11Z,customer,50,company,7,5417.0,CHF,SWIFT,FR,NL,True,ODD_HOUR_ACTIVITY,35,normal
114,2025-07-29T02:14:11Z,customer,163,company,3,1622.56,USD,SWIFT,FR,NL,True,,19,normal
115,2025-09-04T09:47:11Z,customer,69,customer,4,396.9,USD,PSU-PSD2,FR,FR,False,HIGH_RISK_ENTITY,41,normal
116,2025-08-29T10:25:11Z,company,65,customer,66,340.26,EUR,CARD,AE,FR,True,,6,normal
117,2025-08-18T02:58:11Z,company,74,customer,184,892.02,GBP,SEPA,GB,FR,True,,17,normal
118,2025-08-07T22:40:11Z,customer,32,customer,71,1182.86,EUR,CASH,FR,FR,False,,21,normal
119,2025-08-04T17:35:11Z,company,18,customer,119,65.22,USD,CASH,IE,FR,True,,16,normal
120,2025-07-31T11:05:11Z,company,34,customer,153,2121.95,CHF,CARD,NG,FR,True,HIGH_RISK_JURISDICTION;HIGH_RISK_ENTITY,45,normal
121,2025-07-22T21:19:11Z,customer,106,company,73,1843.18,EUR,CRYPTO,FR,DE,True,,34,normal
122,2025-08-28T03:10:11Z,company,67,customer,25,1497.61,CHF,CASH,IR,FR,True,HIGH_RISK_JURISDICTION,35,normal
123,2025-09-01T18:49:11Z,customer,3,customer,179,3606.14,GBP,CRYPTO,FR,FR,False,,15,normal
124,2025-07-26T07:07:11Z,customer,59,company,53,5438.08,GBP,SEPA,FR,CH,True,FONDS_SEIN_PAYS_TIER,32,normal
125,2025-09-03T18:33:11Z,company,45,customer,118,123.61,GBP,SEPA,GB,FR,True,,30,normal
126,2025-08-05T00:34:11Z,customer,129,company,48,381.91,EUR,CARD,FR,LU,True,,20,normal
127,2025-07-20T21:01:11Z,customer,174,company,31,4108.14,GBP,CRYPTO,FR,BE,True,,11,normal
128,2025-08-31T11:42:11Z,customer,185,customer,3,4100.4,EUR,SWIFT,FR,FR,False,,26,normal
129,2025-08-16T00:44:11Z,customer,62,company,5,4030.7,CHF,PSU-PSD2,FR,LU,True,ODD_HOUR_ACTIVITY,33,normal
130,2025-09-07T06:00:11Z,customer,142,customer,16,3514.93,CHF,CASH,FR,FR,False,,22,normal
131,2025-08-04T00:16:11Z,customer,183,company,45,3049.74,USD,PSU-PSD2,FR,GB,True,ODD_HOUR_ACTIVITY,38,normal
132,2025-09-01T06:41:11Z,customer,74,customer,152,1549.64,USD,CARD,FR,FR,False,,17,normal
133,2025-08-12T09:15:11Z,company,69,customer,191,1161.62,USD,CRYPTO,IR,FR,True,HIGH_RISK_JURISDICTION,32,normal
134,2025-08-15T08:06:11Z,company,27,company,55,6288.19,GBP,CRYPTO,SG,NG,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,58,normal
135,2025-08-23T08:44:11Z,customer,173,company,64,2836.24,CHF,SEPA,FR,BE,True,,13,normal
136,2025-09-03T01:02:11Z,company,52,company,67,2610.5,EUR,CRYPTO,SG,IR,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION;ODD_HOUR_ACTIVITY,61,normal
137,2025-07-23T06:42:11Z,company,35,company,17,1142.14,USD,CRYPTO,FR,SG,True,FONDS_SEIN_PAYS_TIER,37,normal
138,2025-08-28T04:28:11Z,company,65,company,38,3858.33,EUR,SWIFT,AE,US,True,FONDS_SEIN_PAYS_TIER;ODD_HOUR_ACTIVITY,52,normal
139,2025-07-19T13:13:11Z,customer,94,customer,190,4539.85,EUR,CRYPTO,FR,FR,False,,32,normal
140,2025-08-18T22:39:11Z,customer,63,company,47,2312.01,EUR,CRYPTO,FR,IT,True,,15,normal
141,2025-08-14T15:04:11Z,customer,21,customer,71,2400.21,GBP,CASH,FR,FR,False,,20,normal
142,2025-08-03T13:23:11Z,company,32,customer,71,2163.95,EUR,PSU-PSD2,IE,FR,True,,8,normal
143,2025-07-28T02:08:11Z,customer,123,customer,47,3276.91,USD,CASH,FR,FR,False,ODD_HOUR_ACTIVITY,37,normal
144,2025-07-19T03:24:11Z,customer,196,customer,107,3868.69,CHF,PSU-PSD2,FR,FR,False,ODD_HOUR_ACTIVITY,41,normal
145,2025-08-16T10:05:11Z,customer,35,customer,109,5173.58,CHF,CARD,FR,FR,False,,19,normal
146,2025-07-29T09:23:11Z,customer,147,company,76,918.63,GBP,PSU-PSD2,FR,ES,True,,18,normal
147,2025-09-02T20:56:11Z,customer,169,company,20,3438.48,CHF,SWIFT,FR,GB,True,,19,normal
148,2025-08-08T05:09:11Z,company,4,customer,50,1246.81,EUR,CASH,IR,FR,True,HIGH_RISK_JURISDICTION,33,normal
149,2025-08-16T08:03:11Z,company,33,company,73,6804.82,EUR,CRYPTO,CH,DE,True,,8,normal
150,2025-09-02T22:54:11Z,company,34,customer,176,4286.74,USD,CARD,NG,FR,True,HIGH_RISK_JURISDICTION;HIGH_RISK_ENTITY,44,normal
151,2025-08-16T18:11:11Z,customer,79,customer,120,4028.64,CHF,PSU-PSD2,FR,FR,False,,22,normal
152,2025-07-28T12:26:11Z,customer,144,company,33,314.9,CHF,PSU-PSD2,FR,CH,True,FONDS_SEIN_PAYS_TIER,40,normal
153,2025-08-23T04:14:11Z,company,31,company,54,4394.21,USD,PSU-PSD2,BE,NG,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION;ODD_HOUR_ACTIVITY,61,normal
154,2025-08-10T02:27:11Z,customer,145,customer,75,3613.07,EUR,CASH,FR,FR,False,ODD_HOUR_ACTIVITY,36,normal
155,2025-07-14T02:02:11Z,customer,189,customer,185,426.07,CHF,SWIFT,FR,FR,False,,26,normal
156,2025-08-13T19:56:11Z,customer,161,customer,158,5083.07,CHF,CASH,FR,FR,False,,17,normal
157,2025-09-07T03:47:11Z,customer,151,customer,196,1019.61,CHF,SEPA,FR,FR,False,,22,normal
158,2025-08-25T00:12:11Z,customer,85,company,70,447.78,USD,CRYPTO,FR,NG,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,57,normal
159,2025-08-23T13:38:11Z,customer,64,customer,169,2973.48,USD,CARD,FR,FR,False,,25,normal
160,2025-07-11T11:46:11Z,company,68,company,26,6703.18,USD,CARD,CH,RU,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,37,normal
161,2025-08-03T15:19:11Z,customer,15,customer,114,4664.21,EUR,CRYPTO,FR,FR,False,,18,normal
162,2025-07-30T13:29:11Z,customer,29,customer,70,2605.77,GBP,PSU-PSD2,FR,FR,False,HIGH_RISK_ENTITY,37,normal
163,2025-08-12T12:56:11Z,customer,124,customer,135,8435.94,CHF,PSU-PSD2,FR,FR,False,,28,normal
164,2025-07-25T11:09:11Z,customer,170,customer,144,3509.14,USD,CASH,FR,FR,False,,29,normal
165,2025-07-17T08:41:11Z,company,12,customer,57,23380.6,GBP,CASH,IR,FR,True,HIGH_RISK_JURISDICTION,44,normal
166,2025-08-20T19:05:11Z,customer,15,customer,176,3412.72,EUR,CRYPTO,FR,FR,False,,17,normal
167,2025-08-24T03:14:11Z,customer,200,customer,30,5.0,EUR,CASH,FR,FR,False,HIGH_RISK_ENTITY,32,normal
168,2025-08-05T17:09:11Z,customer,17,company,38,3882.96,GBP,CRYPTO,FR,US,True,FONDS_SEIN_PAYS_TIER,31,normal
169,2025-08-28T19:21:11Z,company,75,company,11,2475.47,GBP,CARD,ES,NG,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,38,normal
170,2025-09-02T12:41:11Z,company,16,company,6,3114.39,GBP,CRYPTO,US,ES,True,,20,normal
171,2025-07-22T08:43:11Z,company,2,customer,163,31.57,EUR,CRYPTO,IE,FR,True,,7,normal
172,2025-08-29T13:23:11Z,company,73,customer,85,1519.6,USD,SEPA,DE,FR,True,,29,normal
173,2025-09-03T22:28:11Z,customer,170,customer,167,747.96,GBP,CRYPTO,FR,FR,False,,14,normal
174,2025-07-15T05:05:11Z,customer,10,company,16,273.87,GBP,CASH,FR,US,True,FONDS_SEIN_PAYS_TIER,39,normal
175,2025-07-20T18:01:11Z,customer,8,company,80,8872.24,USD,SWIFT,FR,IE,True,,18,normal
176,2025-08-22T13:12:11Z,company,1,company,14,2250.31,USD,CASH,IT,SG,True,FONDS_SEIN_PAYS_TIER,34,normal
177,2025-08-04T01:33:11Z,company,44,customer,86,3851.79,EUR,SEPA,NL,FR,True,ODD_HOUR_ACTIVITY,13,normal
178,2025-08-13T09:26:11Z,company,74,customer,188,171.99,CHF,CASH,GB,FR,True,,12,normal
179,2025-09-04T06:22:11Z,customer,166,customer,20,3196.11,USD,PSU-PSD2,FR,FR,False,,19,normal
180,2025-08-22T21:11:11Z,customer,171,company,73,741.43,GBP,PSU-PSD2,FR,DE,True,,23,normal
181,2025-07-12T23:34:11Z,customer,13,customer,134,1550.08,GBP,PSU-PSD2,FR,FR,False,,19,normal
182,2025-08-27T05:48:11Z,customer,31,company,11,232.24,USD,CASH,FR,NG,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,51,normal
183,2025-08-18T12:53:11Z,customer,97,company,43,886.08,GBP,CRYPTO,FR,SG,True,FONDS_SEIN_PAYS_TIER,41,normal
184,2025-07-28T17:52:11Z,customer,142,company,45,2961.36,USD,PSU-PSD2,FR,GB,True,,16,normal
185,2025-09-06T07:36:11Z,company,3,customer,142,1960.66,USD,CARD,NL,FR,True,,31,normal
186,2025-08-18T01:00:11Z,customer,83,customer,153,1787.89,USD,SEPA,FR,FR,False,,13,normal
187,2025-07-29T19:05:11Z,customer,124,customer,73,2397.28,CHF,CARD,FR,FR,False,,17,normal
188,2025-07-31T04:56:11Z,customer,21,customer,55,3716.34,EUR,CARD,FR,FR,False,ODD_HOUR_ACTIVITY,39,normal
189,2025-08-21T07:52:11Z,customer,64,company,64,2209.55,EUR,SEPA,FR,BE,True,,37,normal
190,2025-08-06T11:01:11Z,customer,161,customer,10,1841.15,CHF,SWIFT,FR,FR,False,,28,normal
191,2025-07-14T07:26:11Z,customer,1,customer,166,177.54,CHF,SWIFT,FR,FR,False,,23,normal
192,2025-07-15T17:04:11Z,company,10,company,20,20.2,GBP,CARD,IE,GB,True,,30,normal
193,2025-08-25T07:54:11Z,customer,170,company,57,3414.54,EUR,CARD,FR,AE,True,FONDS_SEIN_PAYS_TIER,35,normal
194,2025-07-20T03:34:11Z,company,20,customer,105,3412.69,USD,PSU-PSD2,GB,FR,True,ODD_HOUR_ACTIVITY,32,normal
195,2025-08-27T22:56:11Z,company,57,customer,26,4269.72,EUR,SWIFT,AE,FR,True,,22,normal
196,2025-08-05T15:53:11Z,company,40,customer,84,3212.01,EUR,CASH,GB,FR,True,,15,normal
197,2025-07-14T11:44:11Z,customer,75,customer,58,1317.39,CHF,CARD,FR,FR,False,,19,normal
198,2025-08-29T13:53:11Z,customer,8,company,27,3565.49,GBP,SWIFT,FR,SG,True,FONDS_SEIN_PAYS_TIER,24,normal
199,2025-08-31T02:21:11Z,customer,177,customer,61,1120.61,CHF,CARD,FR,FR,False,,18,normal
200,2025-08-23T15:36:11Z,company,49,company,60,2700.71,USD,CARD,US,CH,True,FONDS_SEIN_PAYS_TIER,31,normal
201,2025-07-11T16:25:11Z,customer,76,company,37,786.73,CHF,SWIFT,FR,CN,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,48,normal
202,2025-08-12T02:28:11Z,customer,17,customer,53,2665.35,CHF,CASH,FR,FR,False,ODD_HOUR_ACTIVITY,42,normal
203,2025-07-25T20:03:11Z,customer,167,customer,195,4703.92,USD,SWIFT,FR,FR,False,,16,normal
204,2025-07-11T20:49:11Z,company,69,customer,72,3698.09,CHF,CASH,IR,FR,True,HIGH_RISK_JURISDICTION,47,normal
205,2025-08-12T20:59:11Z,customer,116,company,78,19.4,CHF,CRYPTO,FR,AE,True,FONDS_SEIN_PAYS_TIER,34,normal
206,2025-09-06T03:03:11Z,customer,113,customer,11,527.5,USD,CASH,FR,FR,False,,13,normal
207,2025-08-31T17:31:11Z,customer,12,customer,54,5742.16,USD,PSU-PSD2,FR,FR,False,,21,normal
208,2025-07-26T23:28:11Z,customer,187,customer,22,6807.85,EUR,SEPA,FR,FR,False,,21,normal
209,2025-08-28T19:26:11Z,customer,73,customer,162,2881.53,CHF,SWIFT,FR,FR,False,,10,normal
210,2025-08-22T16:35:11Z,customer,81,company,71,952.0,GBP,SWIFT,FR,BE,True,,6,normal
211,2025-07-29T16:25:11Z,customer,50,company,76,850.71,USD,SEPA,FR,ES,True,,18,normal
212,2025-08-21T19:59:11Z,customer,83,customer,184,1446.41,CHF,SWIFT,FR,FR,False,,10,normal
213,2025-08-10T12:28:11Z,customer,199,company,67,193.32,USD,CASH,FR,IR,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION;HIGH_RISK_ENTITY,64,normal
214,2025-08-12T22:42:11Z,company,24,customer,164,1483.37,GBP,SWIFT,AE,FR,True,,34,normal
215,2025-08-15T12:53:11Z,customer,166,customer,7,316.89,CHF,CARD,FR,FR,False,,1,normal
216,2025-08-01T11:48:11Z,customer,10,company,37,1153.28,USD,PSU-PSD2,FR,CN,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,53,normal
217,2025-07-24T06:09:11Z,customer,165,customer,127,305.79,USD,PSU-PSD2,FR,FR,False,,24,normal
218,2025-08-03T02:41:11Z,company,42,customer,179,2412.68,GBP,CARD,NG,FR,True,HIGH_RISK_JURISDICTION;ODD_HOUR_ACTIVITY;HIGH_RISK_ENTITY,81,suspicious
219,2025-08-10T19:19:11Z,customer,143,customer,172,39745.13,CHF,PSU-PSD2,FR,FR,False,,25,normal
